location_id,survey_set,latitude,longitude
KR_01,KR,45.5316556,-73.5849640999999
KR_02,KR,45.5310237999999,-73.5859631
KR_03,KR,45.4829264999999,-73.5795875999999
KR_04,KR,45.4834114999999,-73.5795468999999
KR_05,KR,45.477630670495,-73.600135723712
KR_06,KR,45.5240273999999,-73.5728265999999
KR_07,KR,45.5234219999999,-73.5734028
KR_08,KR,45.52399753066,-73.6004502005217
KR_09,KR,45.5232858999999,-73.6011504
KR_10,KR,45.5222389049025,-73.6016880469073
MH_02,MH,45.5170976,-73.5648866
MH_04,MH,45.5259207999999,-73.5702342
MH_08,MH,45.4982227182559,-73.6016626556839
MH_09,MH,45.5031764128729,-73.616290745226
MH_10,MH,45.5036245,-73.6196876
MH_11,MH,45.498648,-73.6273873
MH_13,MH,45.5897415999999,-73.5403908
MH_15,MH,45.5511083,-73.5528322
MH_18,MH,45.4796824999999,-73.5779194
MH_19,MH,45.4793987696153,-73.5810435612432
